date,home_team,away_team,home_score,away_score,home_elo,away_elo,home_fifa_ranking,away_fifa_ranking,home_average_age,away_average_age,home_squad_size,away_squad_size,home_market_value,away_market_value,home_confederation,away_confederation,neutral,tournament
1886-03-27,Scotland,England,1.0,1.0,2011.0,1898.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1886-03-29,Wales,England,1.0,3.0,1566.0,1898.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1886-04-10,Scotland,Wales,4.0,1.0,2011.0,1566.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1887-02-26,England,Wales,4.0,0.0,1925.0,1566.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1887-03-19,England,Scotland,2.0,3.0,1925.0,2083.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1887-03-21,Wales,Scotland,0.0,2.0,1566.0,2083.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1888-02-04,England,Wales,5.0,1.0,1925.0,1566.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1888-03-10,Scotland,Wales,5.0,1.0,2083.0,1566.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1888-03-17,Scotland,England,0.0,5.0,2083.0,1925.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1889-02-23,England,Wales,4.0,1.0,1986.0,1566.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1889-04-13,England,Scotland,2.0,3.0,1986.0,2083.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1889-04-15,Wales,Scotland,0.0,0.0,1566.0,2083.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1890-03-15,Wales,England,1.0,3.0,1547.0,1986.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1890-03-22,Scotland,Wales,5.0,0.0,2083.0,1547.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1890-04-05,Scotland,England,1.0,1.0,2049.0,1986.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1891-03-07,England,Wales,4.0,1.0,1986.0,1547.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1891-03-21,Wales,Scotland,3.0,4.0,1547.0,2049.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1891-04-04,England,Scotland,2.0,1.0,1986.0,2043.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1892-03-05,Wales,England,0.0,2.0,1547.0,1986.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1892-03-26,Scotland,Wales,6.0,1.0,2043.0,1547.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1892-04-02,Scotland,England,1.0,4.0,2043.0,1986.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1893-03-13,England,Wales,6.0,0.0,1986.0,1547.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1893-03-18,Wales,Scotland,0.0,8.0,1547.0,2043.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1893-04-01,England,Scotland,5.0,2.0,1986.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1894-03-12,Wales,England,1.0,5.0,1439.0,1986.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1894-03-24,Scotland,Wales,5.0,2.0,1991.0,1439.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1894-04-07,Scotland,England,2.0,2.0,1991.0,1986.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1895-03-18,England,Wales,1.0,1.0,1986.0,1439.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1895-03-23,Wales,Scotland,2.0,2.0,1439.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1895-04-06,England,Scotland,3.0,0.0,1986.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1896-03-16,Wales,England,1.0,9.0,1439.0,2066.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1896-03-21,Scotland,Wales,4.0,0.0,1991.0,1439.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1896-04-04,Scotland,England,2.0,1.0,1991.0,2066.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1897-03-20,Wales,Scotland,2.0,2.0,1439.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1897-03-29,England,Wales,4.0,0.0,2050.0,1439.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1897-04-03,England,Scotland,1.0,2.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1898-03-19,Scotland,Wales,5.0,2.0,1991.0,1439.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1898-03-28,Wales,England,0.0,3.0,1439.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1898-04-02,Scotland,England,1.0,3.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1899-03-18,Wales,Scotland,0.0,6.0,1439.0,1991.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
1899-03-20,England,Wales,4.0,0.0,2050.0,1439.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1899-04-08,England,Scotland,2.0,1.0,2050.0,1991.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1900-02-03,Scotland,Wales,5.0,2.0,1991.0,1439.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1900-03-26,Wales,England,1.0,1.0,1439.0,2050.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1900-04-07,Scotland,England,4.0,1.0,1991.0,2050.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
